,time,16400,16450,16500,16550,16600
84,2023-10-06 12:38,196.0,176.0,164.0,163.0,170.0
85,2023-10-06 12:39,197.0,175.0,164.0,162.0,170.0
86,2023-10-06 12:40,196.0,176.0,164.0,162.0,170.0
87,2023-10-06 12:41,196.0,176.0,164.0,162.0,169.0
88,2023-10-06 12:42,196.0,178.0,165.0,163.0,171.0
89,2023-10-06 12:43,194.5,177.0,163.0,163.0,171.5
90,2023-10-06 12:44,194.0,176.0,163.0,164.0,172.5
91,2023-10-06 12:45,196.0,175.0,163.0,162.0,172.0
92,2023-10-06 12:46,196.0,175.0,164.0,163.0,172.0
93,2023-10-06 12:47,196.5,177.0,165.0,163.0,172.0
94,2023-10-06 12:48,197.0,175.0,163.0,162.0,171.0
95,2023-10-06 12:49,194.5,176.0,165.0,162.0,170.0
96,2023-10-06 12:50,194.0,176.0,164.0,163.0,170.5
97,2023-10-06 12:51,195.0,177.0,165.0,163.0,171.5
98,2023-10-06 12:52,194.5,177.0,164.0,162.0,170.0
99,2023-10-06 12:53,195.5,177.0,163.0,163.0,170.5
100,2023-10-06 12:54,194.5,177.0,163.0,162.0,170.5
101,2023-10-06 12:55,194.5,176.0,163.0,162.0,172.0
102,2023-10-06 12:56,195.0,177.0,163.0,163.0,171.0
103,2023-10-06 12:57,194.5,174.0,165.0,162.0,171.0
104,2023-10-06 12:58,196.0,175.0,164.0,162.0,172.0
105,2023-10-06 13:00,196.0,176.0,164.0,162.0,169.5
106,2023-10-06 13:01,196.5,176.0,164.0,161.0,171.0
107,2023-10-06 13:02,196.0,177.0,164.0,163.0,170.0
108,2023-10-06 13:03,197.5,177.0,164.0,163.0,171.0
109,2023-10-06 13:04,197.0,178.0,165.0,163.0,169.5
110,2023-10-06 13:05,198.0,177.0,165.0,163.0,170.0
111,2023-10-06 13:06,198.0,177.0,165.0,163.0,171.5
112,2023-10-06 13:07,197.5,177.0,165.0,164.0,170.0
113,2023-10-06 13:08,199.0,177.0,166.0,162.0,168.5
114,2023-10-06 13:09,199.0,178.0,164.0,162.0,168.5
115,2023-10-06 13:10,196.5,176.0,165.0,163.0,170.0
116,2023-10-06 13:11,196.5,177.0,164.0,162.0,171.0
117,2023-10-06 13:13,197.0,178.0,165.0,163.0,170.0
118,2023-10-06 13:14,196.0,176.0,165.0,163.0,172.5
119,2023-10-06 13:15,196.0,175.0,165.0,164.0,171.5
120,2023-10-06 13:16,196.0,177.0,165.0,162.0,172.0
121,2023-10-06 13:17,196.5,177.0,165.0,162.0,171.5
122,2023-10-06 13:18,195.5,176.0,163.0,162.0,171.0
123,2023-10-06 13:19,197.0,175.0,164.0,164.0,170.5
124,2023-10-06 13:20,197.5,176.0,165.0,164.0,171.0
125,2023-10-06 13:22,196.0,177.0,166.0,164.0,173.0
126,2023-10-06 13:23,196.0,177.0,166.0,164.0,173.0
127,2023-10-06 13:24,196.5,177.0,165.0,163.0,173.0
128,2023-10-06 13:25,196.5,175.0,165.0,164.0,173.5
129,2023-10-06 13:26,196.0,176.0,166.0,164.0,171.5
130,2023-10-06 13:27,195.5,176.0,166.0,164.0,172.0
131,2023-10-06 13:28,197.0,177.0,165.0,164.0,172.0
132,2023-10-06 13:29,196.0,177.0,164.0,163.0,171.0
133,2023-10-06 13:30,196.5,177.0,166.0,163.0,171.5
134,2023-10-06 13:31,199.0,179.0,166.0,165.0,171.5
135,2023-10-06 13:32,199.0,180.0,166.0,165.0,173.0
136,2023-10-06 13:34,198.0,178.0,167.0,166.0,172.5
137,2023-10-06 13:35,196.5,178.0,166.0,164.0,173.0
138,2023-10-06 13:36,196.5,177.0,166.0,165.0,171.5
139,2023-10-06 13:37,196.0,178.0,166.0,163.0,172.0
140,2023-10-06 13:38,198.0,178.0,165.0,163.0,170.0
141,2023-10-06 13:39,196.5,178.0,165.0,163.0,171.5
142,2023-10-06 13:40,197.5,177.0,165.0,163.0,169.5
143,2023-10-06 13:41,198.5,178.0,165.0,163.0,170.5
144,2023-10-06 13:42,198.0,177.0,165.0,163.0,170.5
145,2023-10-06 13:44,197.5,178.0,166.0,164.0,170.5
146,2023-10-06 13:45,197.5,178.0,165.0,164.0,170.5
147,2023-10-06 13:46,197.5,178.0,165.0,164.0,170.5
148,2023-10-06 13:47,197.5,178.0,165.0,164.0,170.5
149,2023-10-06 13:48,197.5,178.0,165.0,164.0,170.5
150,2023-10-06 13:49,197.5,178.0,165.0,164.0,170.5
151,2023-10-06 13:50,197.5,178.0,165.0,164.0,170.5
152,2023-10-06 13:51,197.5,178.0,165.0,164.0,170.5
153,2023-10-06 13:52,197.5,178.0,165.0,164.0,170.5
154,2023-10-06 13:53,197.5,178.0,165.0,164.0,170.5
155,2023-10-06 13:54,197.5,178.0,165.0,164.0,170.5
156,2023-10-06 13:55,197.5,178.0,165.0,164.0,170.5
157,2023-10-06 13:56,197.5,178.0,165.0,164.0,170.5
158,2023-10-06 13:57,197.5,178.0,165.0,164.0,170.5
159,2023-10-06 13:58,197.5,178.0,165.0,164.0,170.5
160,2023-10-06 13:59,197.5,178.0,165.0,164.0,170.5
161,2023-10-06 14:00,197.5,178.0,165.0,164.0,170.5
162,2023-10-06 14:01,197.5,178.0,165.0,164.0,170.5
163,2023-10-06 14:02,197.5,178.0,165.0,164.0,170.5
164,2023-10-06 14:03,197.5,178.0,165.0,164.0,170.5
165,2023-10-06 14:04,197.5,178.0,165.0,164.0,170.5
166,2023-10-06 14:05,197.5,178.0,165.0,164.0,170.5
167,2023-10-06 14:08,197.5,178.0,165.0,164.0,170.5
168,2023-10-06 14:09,197.5,178.0,165.0,164.0,170.5
169,2023-10-06 14:10,197.5,178.0,165.0,164.0,170.5
170,2023-10-06 14:11,197.5,178.0,165.0,164.0,170.5
171,2023-10-06 14:13,197.5,178.0,165.0,164.0,170.5
172,2023-10-06 14:14,197.5,178.0,165.0,164.0,170.5
173,2023-10-06 14:15,197.5,178.0,165.0,164.0,170.5
174,2023-10-06 14:16,197.5,178.0,165.0,164.0,170.5
175,2023-10-06 14:17,197.5,178.0,165.0,164.0,170.5
176,2023-10-06 14:18,197.5,178.0,165.0,164.0,170.5
177,2023-10-06 14:19,197.5,178.0,165.0,164.0,170.5
178,2023-10-06 14:20,197.5,178.0,165.0,164.0,170.5
179,2023-10-06 14:21,197.5,178.0,165.0,164.0,170.5
180,2023-10-06 14:22,197.5,178.0,165.0,164.0,170.5
181,2023-10-06 14:23,197.5,178.0,165.0,164.0,170.5
182,2023-10-06 14:24,197.5,178.0,165.0,164.0,170.5
183,2023-10-06 14:25,197.5,178.0,165.0,164.0,170.5
184,2023-10-06 14:26,197.5,178.0,165.0,164.0,170.5
185,2023-10-06 14:27,197.5,178.0,165.0,164.0,170.5
186,2023-10-06 14:28,197.5,178.0,165.0,164.0,170.5
187,2023-10-06 14:29,197.5,178.0,165.0,164.0,170.5
188,2023-10-06 14:30,197.5,178.0,165.0,164.0,170.5
189,2023-10-06 14:31,197.5,178.0,165.0,164.0,170.5
